,year,water,disaster,province,amphur,tambon,maintenance,price,breed,produce
0,2558,1,0,32.0,10.0,8.0,600.0,13.0,101.0,390.0
1,2558,0,0,32.0,10.0,7.0,500.0,13.0,101.0,400.0
2,2558,4,0,19.0,10.0,11.0,650.0,6.5,101.0,800.0
3,2558,0,0,32.0,10.0,10.0,400.0,13.0,101.0,400.0
4,2558,11,0,32.0,10.0,12.0,550.0,13.0,101.0,400.0
5,2559,150,0,49.0,4.0,5.0,700.0,16.0,101.0,450.0
6,2559,7,145,36.0,3.0,9.0,1300.0,17.0,101.0,500.0
7,2559,259,97,52.0,11.0,3.0,558.0,12.0,101.0,650.0
8,2559,24,85,30.0,13.0,6.0,1600.0,16.8,101.0,460.0
9,2559,64,52,36.0,7.0,6.0,550.0,12.0,101.0,460.0
10,2559,312,14,32.0,9.0,9.0,1200.0,14.0,101.0,400.0
11,2559,449,8,32.0,9.0,3.0,1200.0,14.0,101.0,380.0
12,2559,170,0,32.0,9.0,10.0,1300.0,14.0,101.0,350.0
13,2559,135,0,25.0,2.0,9.0,360.0,15.0,101.0,440.0
14,2559,23,214,42.0,1.0,10.0,1320.0,15.0,101.0,380.0
15,2559,131,44,32.0,2.0,2.0,630.0,15.0,101.0,450.0
16,2559,172,0,41.0,4.0,9.0,372.0,11.0,101.0,410.0
17,2559,63,27,55.0,6.0,2.0,600.0,13.5,101.0,780.0
18,2559,36,0,25.0,9.0,1.0,860.0,6.5,101.0,700.0
19,2559,138,0,31.0,1.0,5.0,740.0,60.0,101.0,400.0
20,2559,51,35,31.0,1.0,3.0,1070.0,16.0,101.0,400.0
21,2559,50,0,31.0,1.0,5.0,740.0,15.0,101.0,400.0
22,2559,58,0,31.0,1.0,5.0,740.0,15.0,101.0,400.0
23,2559,101,0,19.0,10.0,11.0,850.0,6.5,101.0,750.0
24,2559,31,0,32.0,17.0,5.0,900.0,17.0,101.0,440.0
25,2559,309,0,32.0,17.0,3.0,650.0,17.0,101.0,460.0
26,2559,80,0,32.0,17.0,4.0,650.0,17.0,101.0,450.0
27,2559,43,0,32.0,17.0,2.0,800.0,17.0,101.0,440.0
28,2559,51,1,32.0,2.0,7.0,1050.0,60.0,101.0,450.0
29,2559,70,0,32.0,17.0,1.0,650.0,17.0,101.0,440.0
30,2559,115,0,32.0,12.0,5.0,950.0,13.0,101.0,390.0
31,2559,7,0,32.0,10.0,11.0,400.0,16.0,101.0,390.0
32,2559,72,0,32.0,10.0,2.0,700.0,15.0,101.0,420.0
33,2559,6,0,32.0,10.0,1.0,500.0,17.0,101.0,390.0
34,2559,14,0,32.0,10.0,1.0,700.0,17.0,101.0,390.0
35,2559,4,0,32.0,10.0,13.0,800.0,15.0,101.0,390.0
36,2559,10,0,32.0,10.0,17.0,650.0,13.0,101.0,420.0
37,2559,32,0,32.0,10.0,15.0,600.0,15.0,101.0,420.0
38,2559,3,0,32.0,10.0,10.0,700.0,15.0,101.0,380.0
39,2559,21,0,44.0,9.0,14.0,2200.0,12.0,101.0,350.0
40,2559,23,0,44.0,9.0,14.0,1650.0,12.0,101.0,350.0
41,2559,24,0,32.0,10.0,2.0,800.0,20.0,101.0,420.0
42,2559,3,0,44.0,9.0,3.0,1150.0,12.0,101.0,380.0
43,2559,28,0,32.0,10.0,9.0,700.0,15.0,101.0,400.0
44,2559,2,0,32.0,10.0,9.0,700.0,16.0,101.0,450.0
45,2559,19,0,32.0,10.0,9.0,800.0,15.0,101.0,450.0
46,2559,25,0,32.0,10.0,9.0,800.0,18.0,101.0,420.0
47,2559,6,0,32.0,10.0,10.0,1000.0,17.0,101.0,420.0
48,2559,0,0,32.0,10.0,10.0,800.0,18.0,101.0,440.0
49,2559,19,0,32.0,10.0,8.0,550.0,14.0,101.0,390.0
50,2559,19,0,32.0,10.0,8.0,650.0,17.0,101.0,390.0
51,2559,6,0,32.0,10.0,1.0,550.0,18.0,101.0,390.0
52,2559,8,0,32.0,10.0,2.0,800.0,15.0,101.0,430.0
53,2560,79,62,34.0,1.0,5.0,393.46,14.25,101.0,360.0
54,2560,28,47,42.0,1.0,10.0,1250.0,15.0,101.0,400.0
55,2560,52,19,55.0,6.0,2.0,600.0,13.5,101.0,780.0
56,2560,121,153,33.0,5.0,5.0,1900.0,13.0,101.0,425.0
57,2560,104,2,33.0,3.0,14.0,820.0,14.0,101.0,480.0
58,2560,61,25,33.0,19.0,5.0,1500.0,14.0,101.0,450.0
59,2560,40,68,36.0,7.0,3.0,400.0,12.0,101.0,420.0
60,2560,48,4,57.0,7.0,12.0,406.0,7.0,101.0,670.0
61,2560,17,0,55.0,14.0,7.0,350.0,25.0,101.0,700.0
62,2560,20,14,55.0,7.0,16.0,705.0,7.0,101.0,750.0
63,2560,6,34,61.0,1.0,1.0,500.0,8.5,101.0,900.0
64,2560,58,45,86.0,1.0,8.0,1500.0,17.0,101.0,550.0
65,2560,195,27,94.0,9.0,1.0,1000.0,8.0,101.0,380.0
66,2560,13,17,94.0,1.0,9.0,685.0,10.0,101.0,450.0
67,2560,7,47,36.0,7.0,7.0,400.0,12.0,101.0,400.0
68,2560,15,29,36.0,7.0,1.0,450.0,12.0,101.0,450.0
69,2560,21,0,30.0,14.0,9.0,650.0,10.0,101.0,900.0
70,2560,60,0,30.0,1.0,14.0,650.0,13.0,101.0,425.0
71,2560,26,12,30.0,29.0,4.0,712.0,18.0,101.0,400.0
72,2560,113,0,30.0,1.0,6.0,600.0,12.0,101.0,430.0
73,2560,15,0,36.0,5.0,4.0,720.0,19.0,101.0,450.0
74,2560,14,0,36.0,5.0,2.0,0.0,19.0,101.0,450.0
75,2560,43,0,36.0,5.0,7.0,200.0,19.0,101.0,450.0
76,2560,58,64,30.0,13.0,14.0,120.0,26.0,101.0,460.0
77,2560,12,0,40.0,9.0,5.0,600.0,11.0,101.0,450.0
78,2560,36,0,40.0,9.0,5.0,1400.0,12.0,101.0,450.0
79,2560,5,14,65.0,5.0,5.0,600.0,8.0,101.0,800.0
80,2560,120,0,55.0,5.0,3.0,720.0,14.0,101.0,740.0
81,2560,3,33,64.0,9.0,1.0,511.0,14.0,101.0,800.0
82,2560,143,114,36.0,3.0,1.0,1300.0,17.0,101.0,500.0
83,2560,369,156,32.0,7.0,5.0,552.0,13.5,101.0,380.0
84,2560,59,37,32.0,7.0,4.0,700.0,14.0,101.0,450.0
85,2560,13,6,32.0,2.0,3.0,1150.0,12.0,101.0,450.0
86,2560,55,0,30.0,15.0,8.0,600.0,16.0,101.0,400.0
87,2560,30,39,41.0,22.0,1.0,1280.0,15.0,101.0,405.0
88,2560,35,33,36.0,11.0,2.0,1300.0,17.0,101.0,450.0
89,2560,739,0,32.0,9.0,6.0,1000.0,14.0,101.0,456.0
90,2560,328,40,32.0,9.0,3.0,1350.0,14.0,101.0,456.0
91,2560,146,3,32.0,9.0,8.0,1350.0,14.0,101.0,400.0
92,2560,230,0,32.0,9.0,4.0,1400.0,14.0,101.0,460.0
93,2560,40,0,32.0,9.0,11.0,1000.0,14.0,101.0,456.0
94,2560,101,0,32.0,9.0,11.0,1150.0,14.0,101.0,456.0
95,2560,42,0,32.0,9.0,15.0,1350.0,14.0,101.0,460.0
96,2560,45,0,32.0,9.0,1.0,1150.0,14.0,101.0,456.0
97,2560,1,18,61.0,4.0,2.0,850.0,7.2,101.0,850.0
98,2560,90,0,32.0,10.0,13.0,700.0,15.0,101.0,420.0
99,2560,21,20,44.0,9.0,11.0,2000.0,12.0,101.0,380.0
100,2560,30,18,44.0,9.0,2.0,1300.0,12.0,101.0,380.0
101,2560,5,24,44.0,9.0,8.0,1250.0,12.0,101.0,350.0
102,2560,24,22,44.0,9.0,8.0,1650.0,12.0,101.0,360.0
103,2560,31,28,44.0,9.0,4.0,1780.0,11.0,101.0,400.0
104,2560,22,20,44.0,9.0,11.0,1150.0,11.0,101.0,380.0
105,2560,6,1,30.0,14.0,2.0,600.0,10.0,101.0,850.0
106,2561,1,0,14.0,11.0,7.0,800.0,6.5,101.0,850.0
107,2561,0,0,14.0,3.0,1.0,420.0,8.5,101.0,900.0
108,2561,159,0,19.0,3.0,9.0,620.0,7.0,101.0,700.0
109,2561,1,0,12.0,5.0,5.0,552.0,7.0,101.0,800.0
110,2561,76,2,48.0,5.0,7.0,0.0,20.0,101.0,500.0
111,2561,33,0,38.0,2.0,3.0,1200.0,9.0,101.0,310.0
112,2561,74,16,47.0,5.0,4.0,550.0,10.0,101.0,532.0
113,2561,67,0,39.0,4.0,2.0,420.0,11.0,101.0,450.0
114,2561,38,0,30.0,15.0,4.0,650.0,14.0,101.0,460.0
115,2561,157,0,56.0,2.0,2.0,200.0,13.0,101.0,600.0
116,2561,30,0,34.0,29.0,1.0,1000.0,16.0,101.0,401.0
